iter	Logloss
0	0.6882180636
1	0.6823345092
2	0.6774377011
3	0.6727715055
4	0.6679324961
5	0.6629685688
6	0.658410007
7	0.6530508294
8	0.6490326333
9	0.6450049469
10	0.6410892959
11	0.6368044899
12	0.6330774868
13	0.6296041569
14	0.6256472591
15	0.6216683786
16	0.6172250002
17	0.6133931252
18	0.6095146462
19	0.6061153811
20	0.6025541473
21	0.599170778
22	0.5962922436
23	0.5931025072
24	0.5898949036
25	0.586783381
26	0.5837185242
27	0.5811739168
28	0.5779535476
29	0.5749789224
30	0.5717953989
31	0.5687527998
32	0.5661496356
33	0.5633556058
34	0.5608924177
35	0.558241069
36	0.5568451547
37	0.5538177519
38	0.5508473138
39	0.5484883231
40	0.5458887719
41	0.5435118375
42	0.5421318341
43	0.5397424176
44	0.5372050337
45	0.5346092635
46	0.5324658258
47	0.5305077197
48	0.5295288052
49	0.5276034277
50	0.5249998858
51	0.523109292
52	0.5210138416
53	0.5188612802
54	0.5171219607
55	0.5156727872
56	0.5143200618
57	0.5122915936
58	0.5109684625
59	0.5092388632
60	0.5078519994
61	0.5059066837
62	0.5039928628
63	0.5018766027
64	0.5003137175
65	0.498865681
66	0.4974182612
67	0.4960551512
68	0.4946525263
69	0.4931571025
70	0.4915433522
71	0.4900886468
72	0.4887674745
73	0.4873226071
74	0.4859093503
75	0.4843769401
76	0.4828093824
77	0.4814284316
78	0.4801736607
79	0.4790205061
80	0.4778460129
81	0.4768677053
82	0.475368048
83	0.4738402845
84	0.472956244
85	0.4718985246
86	0.4706605331
87	0.4695924116
88	0.4686048415
89	0.4678021916
90	0.4667739151
91	0.4656244333
92	0.4647437649
93	0.4634557905
94	0.4623585302
95	0.4610252893
96	0.4603055876
97	0.4593123012
98	0.4583647674
99	0.4576129932
100	0.4563632877
101	0.4555947149
102	0.4551099062
103	0.4540488626
104	0.453434769
105	0.4525647136
106	0.4515215907
107	0.4509804456
108	0.4500632891
109	0.4493522365
110	0.4485796446
111	0.4477380542
112	0.4471024473
113	0.4462830709
114	0.4459887192
115	0.4455331168
116	0.4448448993
117	0.4442756957
118	0.443397881
119	0.4426039407
120	0.4417103452
121	0.4410716763
122	0.4403078912
123	0.4395446758
124	0.4389319398
125	0.438375578
126	0.4378588911
127	0.4372574583
128	0.4366974331
129	0.4359782217
130	0.4354198105
131	0.4347591308
132	0.434326623
133	0.4333090955
134	0.4328612145
135	0.4322484972
136	0.4317879359
137	0.4311393925
138	0.430625662
139	0.4301576589
140	0.4296343128
141	0.4289967474
142	0.4288090642
143	0.4282759804
144	0.4279070204
145	0.4274650955
146	0.4269931055
147	0.426814881
148	0.4263534603
149	0.4259696441
150	0.4254666968
151	0.4248085242
152	0.4245910261
153	0.4245248166
154	0.4239142906
155	0.4232372108
156	0.4231755401
157	0.4227679812
158	0.4222657332
159	0.421572002
160	0.4209596416
161	0.4207103628
162	0.4201728036
163	0.4197394369
164	0.4193822624
165	0.4190568613
166	0.4186897301
167	0.4183622121
168	0.418018611
169	0.4176061805
170	0.4173475203
171	0.4169709994
172	0.4164866139
173	0.416147926
174	0.4157416654
175	0.4152856657
176	0.4149042458
177	0.4144410973
178	0.4139781356
179	0.4139587109
180	0.413696422
181	0.4134246436
182	0.4129869589
183	0.4124081675
184	0.4121095636
185	0.4116579274
186	0.411237496
187	0.4108819063
188	0.4105355099
189	0.4100786692
190	0.4097464172
191	0.4094693221
192	0.4091715011
193	0.4089466355
194	0.408639017
195	0.408329442
196	0.4079384066
197	0.4075450105
198	0.4071945984
199	0.4067987735
200	0.4066041261
201	0.4062488235
202	0.4059859454
203	0.4055099139
204	0.4053649199
205	0.4050997124
206	0.4046222023
207	0.4039666736
208	0.403750009
209	0.4031523333
210	0.4029011722
211	0.4027124598
212	0.402629329
213	0.4022103229
214	0.4020862135
215	0.4016507515
216	0.4013130129
217	0.4007596546
218	0.4004813112
219	0.400130181
220	0.3998486618
221	0.3994170965
222	0.3988843032
223	0.3987686221
224	0.3983869754
225	0.3979066717
226	0.3977898464
227	0.3973022188
228	0.397051663
229	0.3968035357
230	0.396605329
231	0.3965082129
232	0.3965005118
233	0.3960654488
234	0.3959191399
235	0.3956610152
236	0.3954141115
237	0.3950232931
238	0.3945780416
239	0.3943042386
240	0.3941028036
241	0.3938338955
242	0.3935269121
243	0.3931961347
244	0.3929272742
245	0.3928898209
246	0.3928323714
247	0.3927498622
248	0.3925169428
249	0.3922424192
250	0.3919182917
251	0.3914948782
252	0.3912632498
253	0.3910898541
254	0.3908908484
255	0.3906840093
256	0.3903202175
257	0.3903154583
258	0.3901162325
259	0.3897904183
260	0.3895185381
261	0.3893726141
262	0.3892176035
263	0.3890181316
264	0.3888328181
265	0.3887757098
266	0.3884828949
267	0.3880990814
268	0.3879746236
269	0.3877393092
270	0.3873713028
