iter	Passed	Remaining
0	197	197463
1	262	131096
2	316	105194
3	373	92923
4	424	84396
5	491	81386
6	557	79118
7	628	77982
8	692	76197
9	737	73026
10	796	71581
11	864	71174
12	969	73604
13	993	69969
14	1039	68228
15	1083	66624
16	1131	65445
17	1182	64495
18	1233	63691
19	1275	62485
20	1342	62596
21	1410	62704
22	1449	61573
23	1521	61883
24	1590	62028
25	1656	62061
26	1722	62086
27	1768	61394
28	1825	61108
29	1893	61216
30	1951	61014
31	2002	60580
32	2037	59712
33	2091	59414
34	2127	58660
35	2163	57941
36	2174	56599
37	2208	55907
38	2241	55233
39	2276	54644
40	2325	54390
41	2364	53930
42	2384	53059
43	2419	52561
44	2455	52111
45	2491	51672
46	2531	51330
47	2563	50850
48	2575	49980
49	2611	49616
50	2648	49277
51	2683	48916
52	2717	48557
53	2751	48207
54	2787	47901
55	2805	47298
56	2844	47061
57	2899	47098
58	2938	46864
59	3016	47262
60	3099	47710
61	3155	47733
62	3214	47803
63	3260	47678
64	3297	47429
65	3352	47446
66	3420	47628
67	3477	47668
68	3514	47414
69	3550	47164
70	3602	47140
71	3652	47075
72	3718	47218
73	3766	47136
74	3812	47015
75	3854	46865
76	3908	46847
77	3945	46642
78	3987	46483
79	4039	46450
80	4103	46553
81	4124	46176
82	4193	46326
83	4238	46215
84	4282	46098
85	4325	45975
86	4366	45825
87	4421	45818
88	4460	45660
89	4497	45471
90	4545	45405
91	4602	45428
92	4641	45264
93	4679	45102
94	4714	44914
95	4772	44944
96	4817	44846
97	4854	44681
98	4892	44529
99	4928	44358
100	4972	44258
101	5009	44100
102	5041	43907
103	5076	43737
104	5104	43513
105	5167	43582
106	5206	43450
107	5244	43318
108	5319	43483
109	5355	43332
110	5390	43170
111	5425	43012
112	5460	42864
113	5495	42713
114	5506	42377
115	5529	42138
116	5563	41984
117	5611	41939
118	5644	41787
119	5680	41654
120	5716	41524
121	5756	41430
122	5818	41484
123	5871	41481
124	5916	41416
125	5964	41371
126	6013	41338
127	6053	41239
128	6117	41308
129	6170	41292
130	6236	41370
131	6300	41433
132	6363	41481
133	6416	41466
134	6448	41316
135	6484	41197
136	6520	41074
137	6557	40959
138	6592	40835
139	6642	40802
140	6677	40677
141	6704	40513
142	6718	40264
143	6764	40210
144	6801	40107
145	6838	40002
146	6879	39918
147	6892	39675
148	6932	39594
149	6953	39401
150	6991	39308
151	7024	39187
152	7060	39084
153	7078	38886
154	7114	38784
155	7152	38694
156	7165	38476
157	7200	38374
158	7239	38291
159	7277	38208
160	7317	38133
161	7338	37962
162	7388	37940
163	7431	37883
164	7512	38019
165	7559	37981
166	7627	38044
167	7681	38042
168	7720	37962
169	7778	37975
170	7844	38031
171	7899	38030
172	7949	38001
173	8012	38037
174	8081	38096
175	8124	38035
176	8165	37965
177	8211	37921
178	8258	37878
179	8266	37660
180	8305	37581
181	8360	37577
182	8417	37577
183	8467	37549
184	8515	37512
185	8574	37527
186	8627	37506
187	8669	37445
188	8731	37466
189	8795	37495
190	8860	37530
191	8929	37579
192	8993	37605
193	9057	37632
194	9115	37632
195	9172	37627
196	9224	37600
197	9278	37583
198	9344	37614
199	9386	37547
200	9448	37560
201	9503	37544
202	9553	37509
203	9608	37492
204	9669	37497
205	9738	37534
206	9808	37576
207	9881	37624
208	9941	37624
209	9988	37576
210	10067	37644
211	10144	37706
212	10180	37613
213	10255	37665
214	10318	37675
215	10378	37670
216	10437	37660
217	10483	37604
218	10546	37609
219	10618	37648
220	10693	37692
221	10757	37698
222	10840	37772
223	10875	37676
224	10927	37640
225	10976	37592
226	11022	37533
227	11080	37519
228	11151	37545
229	11226	37585
230	11287	37575
231	11325	37491
232	11334	37312
233	11383	37263
234	11430	37209
235	11498	37222
236	11544	37165
237	11596	37129
238	11648	37090
239	11698	37045
240	11763	37047
241	11833	37064
242	11903	37081
243	11971	37093
244	12040	37104
245	12065	36982
246	12100	36890
247	12137	36804
248	12206	36814
249	12271	36814
250	12330	36793
251	12385	36762
252	12441	36735
253	12504	36726
254	12570	36725
255	12637	36727
256	12705	36733
257	12722	36589
258	12792	36598
259	12859	36600
260	12919	36580
261	12976	36552
262	13035	36530
263	13110	36549
264	13167	36520
265	13211	36455
266	13278	36454
267	13350	36463
268	13402	36421
269	13459	36389
270	13522	36376
271	13587	36366
272	13639	36322
273	13706	36317
274	13778	36325
275	13854	36344
276	13926	36348
277	13976	36298
278	14043	36291
279	14096	36248
280	14159	36230
281	14215	36195
282	14270	36154
283	14317	36096
284	14387	36094
285	14426	36015
286	14474	35959
287	14513	35880
288	14592	35901
289	14629	35816
290	14699	35815
291	14750	35764
292	14802	35719
293	14861	35688
294	14927	35673
295	14994	35663
296	15066	35663
297	15125	35632
298	15193	35619
299	15258	35603
300	15312	35560
301	15385	35560
302	15476	35601
303	15518	35528
304	15558	35453
305	15621	35428
306	15666	35363
307	15674	35217
308	15707	35125
309	15773	35109
310	15836	35084
311	15890	35040
312	15950	35009
313	16009	34976
314	16067	34940
315	16131	34917
316	16189	34881
317	16252	34854
318	16281	34758
319	16340	34722
320	16400	34691
321	16476	34693
322	16537	34661
323	16597	34630
324	16649	34580
325	16705	34537
326	16754	34482
