iter	Passed	Remaining
0	42	42469
1	54	27419
2	79	26402
3	91	22740
4	118	23547
5	145	24173
6	176	25102
7	208	25807
8	250	27616
9	266	26339
10	309	27862
11	338	27883
12	355	26965
13	387	27273
14	417	27435
15	439	27005
16	471	27269
17	502	27434
18	535	27628
19	560	27444
20	587	27366
21	609	27089
22	631	26822
23	662	26921
24	684	26707
25	716	26825
26	738	26618
27	767	26647
28	799	26760
29	830	26842
30	855	26729
31	889	26918
32	922	27031
33	949	26972
34	959	26459
35	972	26038
36	1003	26108
37	1035	26207
38	1068	26338
39	1109	26627
40	1141	26701
41	1163	26541
42	1195	26600
43	1225	26630
44	1237	26262
45	1249	25909
46	1281	25988
47	1297	25739
48	1308	25386
49	1342	25510
50	1376	25622
51	1407	25659
52	1438	25710
53	1466	25687
54	1498	25742
55	1530	25791
56	1560	25815
57	1592	25864
58	1622	25880
59	1653	25901
60	1684	25935
61	1717	25979
62	1733	25788
63	1754	25654
64	1802	25927
65	1850	26192
66	1882	26218
67	1908	26163
68	1939	26164
69	1970	26177
70	1986	25994
71	2009	25902
72	2040	25909
73	2070	25913
74	2100	25910
75	2133	25937
76	2166	25972
77	2182	25803
78	2215	25825
79	2247	25840
80	2278	25852
81	2309	25859
82	2341	25872
83	2373	25885
84	2403	25869
85	2434	25870
86	2466	25879
87	2481	25721
88	2508	25673
89	2538	25663
90	2569	25670
91	2600	25663
92	2633	25685
93	2665	25691
94	2696	25686
95	2713	25552
96	2739	25503
97	2765	25456
98	2792	25415
99	2824	25418
100	2857	25435
101	2878	25341
102	2898	25243
103	2930	25251
104	2964	25265
105	2976	25100
106	3039	25370
107	3084	25473
108	3114	25462
109	3145	25451
110	3178	25457
111	3210	25451
112	3226	25325
113	3257	25314
114	3287	25302
115	3313	25254
116	3340	25209
117	3351	25049
118	3383	25048
119	3414	25039
120	3445	25028
121	3477	25027
122	3510	25027
123	3540	25010
124	3571	25001
125	3604	25003
126	3635	24988
127	3665	24971
128	3694	24947
129	3708	24821
130	3739	24809
131	3771	24797
132	3803	24791
133	3819	24684
134	3835	24573
135	3867	24569
136	3897	24554
137	3928	24539
138	3939	24405
139	3972	24399
140	3997	24354
141	4029	24346
142	4045	24242
143	4076	24230
144	4087	24102
145	4131	24167
146	4164	24164
147	4193	24142
148	4224	24129
149	4256	24119
150	4287	24108
151	4319	24099
152	4351	24088
153	4382	24072
154	4412	24056
155	4444	24043
156	4474	24025
157	4505	24011
158	4537	24001
159	4583	24065
160	4608	24015
161	4640	24002
162	4673	24000
163	4705	23985
164	4736	23970
165	4785	24042
166	4815	24022
167	4846	24002
168	4857	23886
169	4873	23796
170	4886	23688
171	4916	23667
172	4948	23656
173	4978	23635
174	4995	23548
175	5005	23434
176	5021	23347
177	5042	23285
178	5058	23202
179	5093	23202
180	5123	23184
181	5155	23173
182	5189	23170
183	5233	23211
184	5264	23191
185	5296	23178
186	5328	23164
187	5357	23138
188	5391	23133
189	5424	23125
190	5455	23106
191	5487	23092
192	5517	23071
193	5549	23054
194	5581	23042
195	5598	22963
196	5630	22951
197	5661	22933
198	5694	22919
199	5700	22800
200	5732	22786
201	5762	22765
202	5794	22749
203	5828	22742
204	5859	22723
205	5892	22711
206	5922	22690
207	5953	22667
208	5986	22657
209	6017	22637
210	6049	22621
211	6080	22602
212	6112	22584
213	6125	22497
214	6155	22476
